Open,High,Low,Close,Adj Close,Volume,Returns_t-1,monthly_return
7.09375,7.953125,7.0625,7.796875,4.995986,158752800,4.515408,0.10643069242026426
7.828125,9.1875,7.5625,7.84375,5.03194,207493200,4.995986,0.007196577412346583
7.71875,7.8125,6.21875,7.125,4.570847,217812400,5.03194,-0.09163324681931817
7.0,7.21875,6.40625,6.8125,4.376071,107956000,4.570847,-0.0426126711307554
6.9375,7.5,6.21875,6.6875,4.295775,163780800,4.376071,-0.01834887962283971
6.71875,7.5625,6.5625,7.53125,4.837767,90453200,4.295775,0.1261686191665068
7.6875,8.25,7.34375,7.5625,4.85784,91630000,4.837767,0.004149228352667622
7.5,8.25,7.125,8.25,5.305474,122999600,4.85784,0.09214671541261144
8.3125,9.53125,8.1875,8.84375,5.687311,143195600,5.305474,0.07197038379605658
8.8125,9.96875,8.6875,9.6875,6.229914,103148400,5.687311,0.09540589568602797
9.71875,11.0625,9.625,10.125,6.518667,112803600,6.229914,0.04634943596332142
10.1875,10.71875,9.96875,10.71875,6.900932,102512800,6.518667,0.058641590374228336
10.6875,10.96875,10.28125,10.6875,6.880814,83916000,6.900932,-0.002915258402778065
10.75,11.9375,10.75,11.90625,7.673118,104608800,6.880814,0.1151468416382131
11.84375,12.96875,11.125,12.65625,8.156465,137896400,7.673118,0.06299225425700494
12.65625,12.75,11.65625,11.9375,7.699821,94159600,8.156465,-0.05598552804431833
12.0,12.40625,11.3125,11.5625,7.457946,102027200,7.699821,-0.031413067914176196
11.5625,12.75,11.34375,12.21875,7.881231,100899600,7.457946,0.05675624360916531
12.0625,14.96875,12.03125,14.71875,9.493756,130064400,7.881231,0.2046031895271183
14.625,14.875,13.34375,13.46875,8.694747,152891200,9.493756,-0.0841615267971918
13.46875,14.125,12.53125,13.5,8.714919,111859200,8.694747,0.0023200215026384363
13.5,13.625,13.0,13.3125,8.593884,91186800,8.714919,-0.013888253006138163
13.21875,13.8125,12.625,13.0625,8.440753,118958800,8.593884,-0.017818602159395902
13.0625,13.5,12.78125,13.25,8.561908,86198400,8.440753,0.01435357722231645
13.25,13.96875,13.0625,13.4375,8.68307,92739600,8.561908,0.014151284970592926
13.46875,14.0625,13.3125,13.96875,9.035032,91216800,8.68307,0.04053428107800561
13.9375,14.8125,13.78125,14.28125,9.23716,70438800,9.035032,0.022371586509046137
14.25,14.875,14.1875,14.78125,9.560566,70282800,9.23716,0.03501141043350997
14.75,15.5625,13.84375,15.21875,9.852512,93315200,9.560566,0.030536476606092267
15.21875,16.15625,15.03125,16.09375,10.418973,83831200,9.852512,0.057494068517754515
16.03125,16.46875,15.59375,16.0,10.358283,100028400,10.418973,-0.005824950309401777
16.03125,16.34375,14.625,16.28125,10.549038,157607200,10.358283,0.018415696887215782
16.28125,16.84375,14.6875,16.25,10.528789,148545000,10.549038,-0.001919511523230777
16.4375,17.0625,15.0,15.875,10.285815,169356400,10.528789,-0.02307710791810913
16.0,16.125,12.875,13.375,8.674255,246302000,10.285815,-0.15667791030657263
13.25,14.25,12.9375,13.9375,9.039065,139323400,8.674255,0.0420566377170144
13.875,14.1875,11.8125,13.125,8.512123,163428400,9.039065,-0.0582960737642666
13.0625,13.4375,12.3125,12.6875,8.238288,80628400,8.512123,-0.03217000036301165
12.75,13.25,12.375,12.875,8.360033,101939200,8.238288,0.014777949010765123
